question,question_type,precision_llama_rag,recall_llama_rag,f1_llama_rag,precision_llama,recall_llama,f1_llama,precision_gpt_rag,recall_gpt_rag,f1_gpt_rag,precision_gpt,recall_gpt,f1_gpt,precision_deepseek_rag,recall_deepseek_rag,f1_deepseek_rag,precision_deepseek,recall_deepseek,f1_deepseek,precision_claude_rag,recall_claude_rag,f1_claude_rag,precision_claude,recall_claude,f1_claude
What practices do you recommend to a group of students who has to make a mobile game for a university project? Write less than 100 words.,decision-making,0.8417572975158691,0.8570187091827393,0.8493194580078125,0.8456410765647888,0.8379692435264587,0.8417876958847046,0.8338435888290405,0.8466171026229858,0.840181827545166,0.8416246771812439,0.8465238809585571,0.8440672159194946,0.8486669063568115,0.8594902753829956,0.8540443181991577,0.8395597338676453,0.842151403427124,0.8408535718917847,0.847827136516571,0.8397164940834045,0.8437523245811462,0.8316824436187744,0.8399721384048462,0.8358067870140076
What best practices should we adopt to make our Continuous Integration pipeline more reliable? Write less than 100 words.,decision-making,0.8467023968696594,0.8751707077026367,0.8607012033462524,0.8760984539985657,0.8846901655197144,0.8803732991218567,0.8160399794578552,0.8554767370223999,0.8352931141853333,0.815632700920105,0.8576868772506714,0.8361313343048096,0.8364003896713257,0.8655280470848083,0.8507149815559387,0.8294059634208679,0.8613384962081909,0.8450707197189331,0.8633565902709961,0.8747934699058533,0.8690373301506042,0.8302186727523804,0.8414040207862854,0.8357738852500916
What practices can we adopt to minimise the risk of introducing bugs in production? Write less than 100 words.,decision-making,0.8224393725395203,0.854957640171051,0.8383832573890686,0.8133654594421387,0.8452284932136536,0.8289909362792969,0.7916105389595032,0.84039705991745,0.8152745962142944,0.7940431237220764,0.8413380980491638,0.8170067667961121,0.8103986382484436,0.8407939672470093,0.8253165483474731,0.810920238494873,0.8413509130477905,0.8258553743362427,0.8193530440330505,0.8349406123161316,0.8270733952522278,0.7992382049560547,0.8443021774291992,0.82115238904953
Are there any practices that could improve communication within our distributed teams? Write less than 100 words.,decision-making,0.8100907206535339,0.8342857956886292,0.8220102190971375,0.8126363158226013,0.8331865668296814,0.8227831125259399,0.7907288670539856,0.8327601552009583,0.8112004399299622,0.7969055771827698,0.8297846913337708,0.8130128979682922,0.8093038201332092,0.8348327279090881,0.8218700885772705,0.8025386929512024,0.8310486674308777,0.8165449500083923,0.8290651440620422,0.8383108973503113,0.8336623907089233,0.7955319881439209,0.8204666972160339,0.8078069686889648
How can we make better use of feedback from users or stakeholders to improve our process? Write less than 100 words.,decision-making,0.8140963912010193,0.823708176612854,0.8188741207122803,0.8167713284492493,0.831603467464447,0.8241206407546997,0.790020227432251,0.8270521759986877,0.8081122040748596,0.7965332865715027,0.828883945941925,0.812386691570282,0.8125709891319275,0.8361554741859436,0.8241945505142212,0.8059409260749817,0.8250648379325867,0.8153907656669617,0.8250926733016968,0.8398962616920471,0.8324286341667175,0.797443151473999,0.8211411237716675,0.8091186285018921
How can we assess if our current Agile practices are truly effective? Write less than 100 words.,decision-making,0.8262850642204285,0.8733789920806885,0.8491795659065247,0.8175744414329529,0.8719898462295532,0.8439059257507324,0.810280978679657,0.8534483313560486,0.831304669380188,0.7955325245857239,0.8650423288345337,0.8288325667381287,0.8077138066291809,0.8626789450645447,0.8342919945716858,0.8045587539672852,0.8605524301528931,0.8316141366958618,0.8247276544570923,0.8740216493606567,0.8486594557762146,0.8008204698562622,0.8473458886146545,0.8234264850616455
Our team only uses the User Stories practice and the following Scrum practices: Sprint Planning and Daily Stand-ups. What Activity Spaces in the three Areas of Concern (in the Essence Kernel) are not being addressed by our current set of practices? Write less than 100 words.,decision-making,0.8406992554664612,0.8640373349189758,0.8522085547447205,0.8596243858337402,0.8821454644203186,0.8707394003868103,0.8184851408004761,0.8847677707672119,0.8503367304801941,0.7984436750411987,0.8577744960784912,0.8270463347434998,0.8311728239059448,0.8739827275276184,0.8520403504371643,0.8185973763465881,0.8735059499740601,0.845160722732544,0.8420776724815369,0.8673557043075562,0.854529857635498,0.8251267075538635,0.8638477921485901,0.8440433740615845
"What practice(s) can help us address the ""Explore Possibilities"" Activity Space? Write less than 100 words.",decision-making,0.8485089540481567,0.8504453301429749,0.8494760394096375,0.8657879829406738,0.8547467589378357,0.860231876373291,0.8220530152320862,0.8517110347747803,0.8366193175315857,0.8158738017082214,0.8475303649902344,0.8314008116722107,0.8357251882553101,0.8523500561714172,0.8439556956291199,0.8343946933746338,0.8469935655593872,0.8406469225883484,0.8411030173301697,0.8505605459213257,0.8458053469657898,0.8184576034545898,0.8462213277816772,0.8321079015731812
"What practice(s) can help us address the ""Coordinate Activity"" Activity Space? Write less than 100 words.",decision-making,0.8523195385932922,0.8694571852684021,0.8608031272888184,0.8652865886688232,0.8731458783149719,0.8691985011100769,0.8235279321670532,0.8704326152801514,0.8463308811187744,0.818465530872345,0.8767809271812439,0.8466202020645142,0.8536337614059448,0.8958484530448914,0.8742318153381348,0.8359791040420532,0.8768487572669983,0.8559262752532959,0.8510680794715881,0.8814184665679932,0.8659774661064148,0.8236749172210693,0.8817224502563477,0.8517107963562012
"What practice(s) can help us address the ""Prepare to do the work"" Activity Space? Write less than 100 words.",decision-making,0.8340884447097778,0.8478283286094666,0.8409022688865662,0.8512546420097351,0.8534913659095764,0.8523715138435364,0.8157249093055725,0.8482394218444824,0.831664502620697,0.8083765506744385,0.8382292985916138,0.8230323195457458,0.8284571170806885,0.8419612646102905,0.8351545929908752,0.8260588049888611,0.8405246734619141,0.8332289457321167,0.8321728110313416,0.840186595916748,0.8361604809761047,0.8018219470977783,0.8356925249099731,0.8184069395065308
"Describe the pair programming practice using the Essence language, in less than 100 words.",translation,0.8144004344940186,0.837454080581665,0.825766384601593,0.8368903398513794,0.8423795700073242,0.8396259546279907,0.7828854918479919,0.833532452583313,0.8074155449867249,0.804332435131073,0.8298534750938416,0.8168936967849731,0.7984099388122559,0.8467668890953064,0.8218777179718018,0.8091204762458801,0.8402871489524841,0.8244093656539917,0.7961655259132385,0.8317735195159912,0.8135801553726196,0.7744088768959045,0.8122284412384033,0.7928679585456848
"Describe a simplified Scrum practice using the Essence language, in less than 100 words.",translation,0.818330705165863,0.8637964725494385,0.8404490947723389,0.8301881551742554,0.8190507888793945,0.8245818614959717,0.8504360318183899,0.891115128993988,0.8703004717826843,0.8314090967178345,0.847399890422821,0.8393283486366272,0.8636497259140015,0.9028813242912292,0.8828299641609192,0.823313295841217,0.8599566221237183,0.8412360548973083,0.8363969922065735,0.8583532571792603,0.8472328186035156,0.8081707954406738,0.8349100947380066,0.8213228583335876
"Explain retrospectives using Essence terms, in less than 100 words.",translation,0.8296850919723511,0.8448230624198914,0.8371856808662415,0.8560216426849365,0.8301514983177185,0.8428881168365479,0.8186330795288086,0.8514093160629272,0.8346995115280151,0.831071138381958,0.8375253677368164,0.8342857360839844,0.8154623508453369,0.8483916521072388,0.8316011428833008,0.8341790437698364,0.8391364812850952,0.8366504311561584,0.8672958016395569,0.8350942730903625,0.8508904576301575,0.7934343218803406,0.8123462200164795,0.8027788400650024
Describe the DevOps practice using Essence terms in less than 100 words.,translation,0.8066455721855164,0.8375479578971863,0.8218063712120056,0.847457766532898,0.8501560091972351,0.848804771900177,0.7969943881034851,0.8442240357398987,0.8199296593666077,0.7868161201477051,0.8456789255142212,0.8151863217353821,0.7946651577949524,0.8458836078643799,0.8194748759269714,0.8039262294769287,0.8426467180252075,0.8228312134742737,0.8504791259765625,0.846372127532959,0.8484206199645996,0.7794615626335144,0.8263570666313171,0.8022245168685913
Describe the Human-Centered Design practice using Essence terms in less than 100 words.,translation,0.8004990816116333,0.8331073522567749,0.8164777159690857,0.8571740984916687,0.858669638633728,0.8579212427139282,0.8032848834991455,0.8429189324378967,0.8226248621940613,0.7866243720054626,0.8462136387825012,0.8153316974639893,0.7947694659233093,0.8458616733551025,0.8195199966430664,0.8186687231063843,0.8529677391052246,0.8354663848876953,0.8642546534538269,0.8592298626899719,0.861734926700592,0.7922893166542053,0.8328272104263306,0.8120526671409607
Essentialize the Prototypes practice. Write less than 100 words.,translation,0.8154332637786865,0.8462265729904175,0.8305445909500122,0.8438555002212524,0.8567199110984802,0.850239098072052,0.7942137718200684,0.8460099697113037,0.8192940950393677,0.777124285697937,0.841410219669342,0.807990550994873,0.7958502769470215,0.8528023958206177,0.8233426213264465,0.8116212487220764,0.8508200645446777,0.8307585716247559,0.8546015024185181,0.8513690829277039,0.8529822826385498,0.7777377963066101,0.8290191888809204,0.8025601506233215
"What's the difference between user stories and use cases? Explain it using the Essence language, in less than 250 words.",translation,0.8257657289505005,0.8238288164138794,0.8247961401939392,0.8285403847694397,0.8182147741317749,0.8233451843261719,0.7694995403289795,0.8164646625518799,0.79228675365448,0.7787570953369141,0.814833402633667,0.7963868975639343,0.7786485552787781,0.8199331164360046,0.7987577319145203,0.7897170186042786,0.8151319026947021,0.802223265171051,0.8392514586448669,0.8156816959381104,0.8272987008094788,0.7977133989334106,0.8147403001785278,0.8061369061470032
"Translate this practice using the Essence language in less than 200 words: We write clean, efficient code, review each other's pull requests, and collaborate on designing and implementing features. We debug issues, create automated tests, optimize performance, and maintain clear documentation, ensuring our project meets user needs and upholds high-quality standards.",translation,0.8009791374206543,0.8518137335777283,0.8256146311759949,0.7976877689361572,0.8223462104797363,0.8098293542861938,0.7842128872871399,0.8570232391357422,0.8190030455589294,0.8010261058807373,0.8519344925880432,0.8256963491439819,0.7595964670181274,0.8506245017051697,0.8025375008583069,0.7910914421081543,0.8516930341720581,0.8202744722366333,0.8181495666503906,0.8379338383674622,0.827923595905304,0.7873887419700623,0.8340669274330139,0.8100559115409851
"Translate this practice using the Essence language in less than 200 words: We hold retrospectives to reflect on our work, celebrate successes, and identify areas for improvement. Together, we discuss what went well, what didn’t, and how to adapt. This practice strengthens our collaboration, fosters transparency, and helps us continuously improve as a team.",translation,0.8057336211204529,0.8690869212150574,0.8362120389938354,0.803053081035614,0.8254844546318054,0.8141142725944519,0.7969251871109009,0.8843697905540466,0.8383735418319702,0.7983444929122925,0.8606129884719849,0.8283101320266724,0.775269627571106,0.8795512914657593,0.8241246938705444,0.787543535232544,0.8603205680847168,0.8223249316215515,0.8403978943824768,0.8506035804748535,0.8454700112342834,0.7964756488800049,0.8586598634719849,0.8263996243476868
"Translate this practice using the Essence language in less than 200 words: We design and implement independent services, define clear APIs for communication, and ensure each service is scalable and maintainable. We deploy and monitor services separately, manage data consistency, and handle failures gracefully. This requires strong skills in system design, API development, cloud deployment, and debugging distributed systems.",translation,0.8019883632659912,0.8476896286010742,0.8242059946060181,0.8109169006347656,0.8352032899856567,0.8228809833526611,0.8082175850868225,0.8671225905418396,0.8366345167160034,0.804543137550354,0.8486930727958679,0.8260286450386047,0.7634735107421875,0.8593268394470215,0.8085693120956421,0.7960248589515686,0.8441970348358154,0.8194035887718201,0.8257231712341309,0.8515739440917969,0.8384493589401245,0.7860791087150574,0.8367793560028076,0.8106371760368347
